(11:20:06 PM) : CONNECTED <br>
(11:20:07 PM) : TX = #0<br>
(12:19:51 AM) : TX = #BK<br>
(12:19:51 AM) : TX = #0<br>
(12:19:53 AM) : TX = #LT<br>
(12:19:53 AM) : TX = #0<br>
(12:19:54 AM) : TX = #BK<br>
(12:19:55 AM) : TX = #0<br>
(12:19:56 AM) : TX = #LT<br>
(12:19:56 AM) : TX = #0<br>
(12:19:57 AM) : TX = #BK<br>
(12:19:57 AM) : TX = #0<br>
(12:19:58 AM) : TX = #LT<br>
(12:19:58 AM) : TX = #0<br>
(12:19:59 AM) : TX = #BK<br>
(12:19:59 AM) : TX = #0<br>
(12:20:00 AM) : TX = #LT<br>
(12:20:00 AM) : TX = #0<br>
(12:20:01 AM) : TX = #BK<br>
(12:20:01 AM) : TX = #0<br>
(12:20:02 AM) : TX = #LT<br>
(12:20:02 AM) : TX = #0<br>
(12:20:03 AM) : TX = #BK<br>
(12:20:03 AM) : TX = #0<br>
(12:20:05 AM) : TX = #BK<br>
(12:20:05 AM) : TX = #0<br>
(12:20:06 AM) : TX = #BK<br>
(12:20:07 AM) : TX = #0<br>
(12:20:07 AM) : TX = #LT<br>
(12:20:07 AM) : TX = #0<br>
(12:20:08 AM) : TX = #BK<br>
(12:20:08 AM) : TX = #0<br>
(12:20:09 AM) : TX = #LT<br>
(12:20:09 AM) : TX = #0<br>
(12:20:10 AM) : TX = #BK<br>
(12:20:10 AM) : TX = #0<br>
(12:20:11 AM) : TX = #LT<br>
(12:20:11 AM) : TX = #0<br>
(12:20:12 AM) : TX = #BK<br>
(12:20:13 AM) : TX = #0<br>
(12:20:14 AM) : TX = #LT<br>
(12:20:14 AM) : TX = #0<br>
(12:20:14 AM) : TX = #BK<br>
(12:20:15 AM) : TX = #0<br>
(12:20:16 AM) : TX = #LT<br>
(12:20:16 AM) : TX = #0<br>
(12:20:17 AM) : TX = #BK<br>
(12:20:18 AM) : TX = #0<br>
(12:20:19 AM) : TX = #LT<br>
(12:20:19 AM) : TX = #0<br>
(12:20:20 AM) : TX = #BK<br>
(12:20:20 AM) : TX = #0<br>
(12:20:22 AM) : TX = #LT<br>
(12:20:22 AM) : TX = #0<br>
(12:20:22 AM) : TX = #BK<br>
(12:20:23 AM) : TX = #0<br>
(12:20:23 AM) : TX = #LT<br>
(12:20:24 AM) : TX = #0<br>
(12:20:25 AM) : TX = #DR<br>
(12:20:25 AM) : TX = #0<br>
(12:20:26 AM) : TX = #BK<br>
(12:20:26 AM) : TX = #0<br>
(12:20:26 AM) : TX = #BK<br>
(12:20:27 AM) : TX = #0<br>
(12:20:28 AM) : TX = #LT<br>
(12:20:28 AM) : TX = #0<br>
(12:20:29 AM) : TX = #BK<br>
(12:20:29 AM) : TX = #0<br>
(12:20:30 AM) : TX = #LT<br>
(12:20:31 AM) : TX = #0<br>
(12:20:31 AM) : TX = #BK<br>
(12:20:32 AM) : TX = #0<br>
(12:20:33 AM) : TX = #LT<br>
(12:20:33 AM) : TX = #0<br>
(12:20:33 AM) : TX = #BK<br>
(12:20:34 AM) : TX = #0<br>
(12:20:34 AM) : TX = #LT<br>
(12:20:35 AM) : TX = #0<br>
(12:20:35 AM) : TX = #BK<br>
(12:20:36 AM) : TX = #0<br>
(12:20:36 AM) : TX = #LT<br>
(12:20:37 AM) : TX = #0<br>
(12:20:37 AM) : TX = #BK<br>
(12:20:37 AM) : TX = #0<br>
(12:20:38 AM) : TX = #LT<br>
(12:20:38 AM) : TX = #0<br>
(12:20:39 AM) : TX = #LT<br>
(12:20:39 AM) : TX = #0<br>
(12:20:40 AM) : TX = #BK<br>
(12:20:40 AM) : TX = #0<br>
(12:20:40 AM) : TX = #LT<br>
(12:20:41 AM) : TX = #0<br>
(12:20:42 AM) : TX = #BK<br>
(12:20:42 AM) : TX = #0<br>
(12:20:44 AM) : TX = #LT<br>
(12:20:44 AM) : TX = #0<br>
(12:20:45 AM) : TX = #BK<br>
(12:20:45 AM) : TX = #0<br>
(12:20:46 AM) : TX = #LT<br>
(12:20:46 AM) : TX = #0<br>
(12:20:47 AM) : TX = #BK<br>
(12:20:47 AM) : TX = #0<br>
(12:20:48 AM) : TX = #BK<br>
(12:20:48 AM) : TX = #0<br>
(12:20:48 AM) : TX = #BK<br>
(12:20:49 AM) : TX = #0<br>
(12:20:49 AM) : TX = #RT<br>
(12:20:49 AM) : TX = #0<br>
(12:20:51 AM) : TX = #BK<br>
(12:20:51 AM) : TX = #0<br>
(12:20:52 AM) : TX = #RT<br>
(12:20:52 AM) : TX = #0<br>
(12:20:52 AM) : TX = #BK<br>
(12:20:53 AM) : TX = #0<br>
(12:20:54 AM) : TX = #RT<br>
(12:20:54 AM) : TX = #0<br>
(12:20:55 AM) : TX = #BK<br>
(12:20:55 AM) : TX = #0<br>
(12:20:56 AM) : TX = #RT<br>
(12:20:56 AM) : TX = #0<br>
(12:20:57 AM) : TX = #BK<br>
(12:20:57 AM) : TX = #0<br>
(12:20:57 AM) : TX = #RT<br>
(12:20:58 AM) : TX = #0<br>
(12:20:59 AM) : TX = #BK<br>
(12:20:59 AM) : TX = #0<br>
(12:20:59 AM) : TX = #RT<br>
(12:21:00 AM) : TX = #0<br>
(12:21:01 AM) : TX = #BK<br>
(12:21:01 AM) : TX = #0<br>
(12:21:02 AM) : TX = #RT<br>
(12:21:02 AM) : TX = #0<br>
(12:21:02 AM) : TX = #BK<br>
(12:21:03 AM) : TX = #0<br>
(12:21:04 AM) : TX = #RT<br>
(12:21:04 AM) : TX = #0<br>
(12:21:04 AM) : TX = #BK<br>
(12:21:05 AM) : TX = #0<br>
(12:21:06 AM) : TX = #RT<br>
(12:21:06 AM) : TX = #0<br>
(12:21:06 AM) : TX = #BK<br>
(12:21:07 AM) : TX = #0<br>
(12:21:07 AM) : TX = #RT<br>
(12:21:07 AM) : TX = #0<br>
(12:21:08 AM) : TX = #BK<br>
(12:21:08 AM) : TX = #0<br>
(12:21:09 AM) : TX = #BK<br>
(12:21:09 AM) : TX = #0<br>
(12:21:09 AM) : TX = #BK<br>
(12:21:10 AM) : TX = #0<br>
(12:21:11 AM) : TX = #BK<br>
(12:21:11 AM) : TX = #0<br>
